[Thu Jan 30 15:59:54 2025] src/display/display.c:6 - program started!
[Thu Jan 30 15:59:54 2025] src/display/display_utils.c:58 - ncurses initialized!
[Thu Jan 30 15:59:54 2025] src/display/display_utils.c:75 - shared memories got attached!
[Thu Jan 30 15:59:54 2025] src/display/display_utils.c:81 - wrote my pid in the shared memory globals!
[Thu Jan 30 15:59:54 2025] src/display/display_utils.c:115 - opened fd in write mode!
[Thu Jan 30 16:00:04 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:05 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:00:07 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:08 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:09 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:09 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:10 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:11 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:11 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:12 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:12 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:00:13 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:14 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:15 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:15 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:16 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:00:17 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:17 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:17 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:18 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:18 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:19 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:00:21 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:21 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:22 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:00:23 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:23 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:24 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:24 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:00:24 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
